region_key,region_name,Region_State,zone
1,Sudeste,SP,South
2,Sudeste,MG,South
3,Norte,AM,North
4,Norte,TO,North
5,Norte,AP,North
6,Nordeste,PE,North
7,Nordeste,PB,North
8,Sul,SC,South
9,Nordeste,SE,North
10,Norte,RO,North
11,Centro-Oeste,DF,North
12,Nordeste,AL,North
13,Sudeste,RJ,South
14,Norte,PA,North
15,Nordeste,RN,North
16,Norte,AC,North
17,Sul,RS,South
18,Centro-Oeste,MT,North
19,Sudeste,ES,South
20,Centro-Oeste,MS,North
21,Nordeste,MA,North
22,Sul,PR,South
23,Nordeste,PI,North
24,Nordeste,BA,North
25,Norte,RR,North
26,Centro-Oeste,GO,North
27,Nordeste,CE,North
